decoder,mean_tokens_per_sec,mean_acceptance_rate,runs,gsm8k_exact_match,speedup_vs_target_only
adaptive_length,10.708312768823019,0.6712854377397134,10,0.0,0.5905632802871739
cascade_length_then_verif,13.074551028309468,0.5787185855304575,5,0.0,0.721061282972701
cascade_verif_then_length,13.146334020157525,0.6063492063492063,5,0.0,0.7250201138408131
fuzzy_sd_T1,6.356197091550717,0.33158882797835254,10,0.2,0.3505441693360783
fuzzy_sd_T1.5,7.072464615592516,0.3667922652482092,10,0.2,0.3900463119885468
fuzzy_sd_T2,6.194966485237359,0.3188345086770261,10,0.2,0.34165230394115553
fuzzy_sd_T2.5,5.6081931259134,0.28308880941118797,6,0.16666666666666666,0.309291762430229
fuzzy_sd_T3,6.248263253822999,0.3349892690429775,5,0.2,0.3445916198879479
fuzzy_sd_T3.5,7.07948768056238,0.37450162986860236,5,0.0,0.3904336339108526
fuzzy_sd_T4,7.183278090567296,0.40699633699633697,5,0.4,0.39615767338542907
jointadaspec,12.84989924342411,0.6067135050741608,5,0.0,0.708671740579941
speculative,6.587321277358448,0.33158882797835254,10,0.2,0.36329066453761116
target_only,18.132371460033674,0.0,10,0.0,1.0
