decoder,mean_tokens_per_sec,mean_acceptance_rate,runs,speedup_vs_vanilla
fixed_sd,17.262407364842606,0.8009430209518645,100,0.5876239689579907
fuzzy_sd_T1,17.252581703243237,0.8009430209518645,100,0.5872894968218264
fuzzy_sd_T1.5,18.17073107036332,0.8581224213912401,100,0.6185439194408983
fuzzy_sd_T2,18.584089052498033,0.8849757804415068,100,0.6326149034542385
fuzzy_sd_T2.5,18.73955424776691,0.8949305760331059,100,0.6379070433712227
fuzzy_sd_T3,18.8742991076993,0.9052336510342707,100,0.6424938491229756
fuzzy_sd_T3.5,19.007144967025965,0.9118280370995115,100,0.6470160116155695
fuzzy_sd_T4,19.08620259329809,0.9151999902050681,100,0.6497071864409903
jointadaspec,18.98703492486084,0.9511083463379241,100,0.6463314522407833
specdecpp,17.81154222136065,0.8351966848661487,100,0.6063168891898181
vanilla_ar,29.37662225632715,0.0,100,1.0
