method,setting,threshold,accuracy_pct,speed_tps,speculative_tps,speedup_ours
baseline,default,,70.88888888888889,72.71633274244645,40.68252377269749,1.7874095803084669
speculative,default,,71.88888888888889,40.68252377269749,40.68252377269749,1.0
autojudge,threshold=0.005,0.005,74.66666666666667,40.180661483422384,40.68252377269749,0.9876639342219984
autojudge,threshold=0.01,0.01,74.66666666666667,40.17197086018232,40.68252377269749,0.9874503136686468
autojudge,threshold=0.03,0.03,74.0,40.24927746371722,40.68252377269749,0.9893505547639837
autojudge,threshold=0.05,0.05,73.33333333333333,41.05222589159424,40.68252377269749,1.0090874922352988
autojudge,threshold=0.09,0.09,74.33333333333333,43.127323594705246,40.68252377269749,1.0600945957941892
autojudge,threshold=0.14,0.14,73.33333333333333,45.33761991799819,40.68252377269749,1.114424959752
autojudge,threshold=0.23,0.23,73.0,47.913510304518304,40.68252377269749,1.1777418375571285
autojudge,threshold=1,1.0,75.66666666666667,48.90805276915966,40.68252377269749,1.202188267434441
topk,topk_rank=16,,76.0,59.2671879976938,40.68252377269749,1.456821811961152
topk,topk_rank=2,,73.33333333333333,56.2962689754997,40.68252377269749,1.3837949014677593
topk,topk_rank=32,,76.33333333333333,59.27231480824991,40.68252377269749,1.4569478319343658
topk,topk_rank=4,,73.66666666666667,58.621908169478054,40.68252377269749,1.4409604600002688
topk,topk_rank=8,,76.33333333333333,59.18646696221468,40.68252377269749,1.45483764215079
topk,topk_rank=all,,75.66666666666667,59.30066657546454,40.68252377269749,1.4576447347954822
