method,setting,threshold,accuracy_pct,speed_tps,speculative_tps,speedup_ours
baseline,default,,,71.52326977876287,34.8032229886006,2.055076042876532
speculative,default,,,34.8032229886006,34.8032229886006,1.0
autojudge,threshold=0.005,0.005,,23.020973859288887,34.8032229886006,0.661460976382249
autojudge,threshold=0.01,0.01,,23.026688218423303,34.8032229886006,0.6616251668980608
autojudge,threshold=0.03,0.03,,23.34529808136869,34.8032229886006,0.6707797748793316
autojudge,threshold=0.05,0.05,,23.833562965845374,34.8032229886006,0.6848090756896792
autojudge,threshold=0.09,0.09,,25.12543915958894,34.8032229886006,0.7219285170174754
autojudge,threshold=0.14,0.14,,26.6962165431359,34.8032229886006,0.7670616181690972
autojudge,threshold=0.23,0.23,,28.19878932669153,34.8032229886006,0.8102349985209047
autojudge,threshold=1,1.0,,29.266555128560213,34.8032229886006,0.8409150824378001
topk,topk_rank=16,,,36.166306061128736,34.8032229886006,1.039165426517383
topk,topk_rank=2,,,33.44804415498032,34.8032229886006,0.9610616857506515
topk,topk_rank=32,,,36.275796240658,34.8032229886006,1.04231140468053
topk,topk_rank=4,,,35.40922450120183,34.8032229886006,1.0174122239425847
topk,topk_rank=8,,,35.96447842140313,34.8032229886006,1.0333663187798119
topk,topk_rank=all,,,36.5332788289085,34.8032229886006,1.0497096444451297
