decoder,mean_tokens_per_sec,mean_acceptance_rate,runs,speedup_vs_vanilla
fixed_sd,8.046458632133792,0.6585486641968745,100,0.5603844685251073
fuzzy_sd_T1,8.025302014272812,0.6585486641968745,100,0.558911045172321
fuzzy_sd_T1.5,8.630987776515092,0.7284036406859563,100,0.6010931913169482
fuzzy_sd_T2,9.054676900693508,0.7789025121541138,100,0.6306004336364961
fuzzy_sd_T2.5,9.272647203919975,0.8029358714699033,100,0.6457806735547158
fuzzy_sd_T3,9.468835058845963,0.8239479746757905,100,0.6594439050258538
fuzzy_sd_T3.5,9.539255939157266,0.8349506267713711,100,0.6643482697147772
fuzzy_sd_T4,9.624471801823308,0.8432039253008357,100,0.6702830104613849
jointadaspec,10.343854848481055,0.8900827476497281,100,0.7203834465286701
specdecpp,9.037007424511204,0.7630428446655574,100,0.6293698674368522
vanilla_ar,14.358818068801066,0.0,100,1.0
