decoder,mean_tokens_per_sec,mean_acceptance_rate,runs,speedup_vs_vanilla
fixed_sd,7.227298455621424,0.4,1,0.43673073314025684
fuzzy_sd_T1,7.1216233040753645,0.4,1,0.4303450017784198
fuzzy_sd_T1.5,10.439610387771808,0.6857142857142857,1,0.6308441150377538
fuzzy_sd_T2,10.21108725901639,0.6857142857142857,1,0.6170349338930023
fuzzy_sd_T2.5,10.425988441118964,0.6857142857142857,1,0.6300209689085295
fuzzy_sd_T3,10.415721761585568,0.6857142857142857,1,0.6294005746482026
fuzzy_sd_T3.5,10.132238863912356,0.6388888888888888,1,0.6122702880696472
fuzzy_sd_T4,12.076101359272894,0.8333333333333334,1,0.7297338877722919
jointadaspec,13.274996420132931,0.7333333333333333,1,0.8021806425455617
specdecpp,13.316645955994938,0.96,1,0.8046974380596335
vanilla_ar,16.548637197236964,0.0,1,1.0
